Date,Open,High,Low,Close
2007-01-01,0.71,0.73,0.7,0.72
2007-02-01,0.72,0.73,0.7,0.7
2007-03-01,0.7,0.71,0.69,0.7
2007-04-01,0.7,0.71,0.69,0.7
2007-05-01,0.7,0.72,0.69,0.71
2007-06-01,0.71,0.73,0.7,0.72
2007-07-01,0.72,0.73,0.71,0.73
2007-08-01,0.73,0.75,0.72,0.73
2007-09-01,0.73,0.74,0.72,0.73
2007-10-01,0.73,0.74,0.72,0.74
2007-11-01,0.74,0.75,0.73,0.74
2007-12-01,0.74,0.75,0.73,0.74
2008-01-01,0.74,0.76,0.73,0.74
2008-02-01,0.75,0.76,0.72,0.72
2008-03-01,0.71,0.73,0.7,0.72
2008-04-01,0.72,0.73,0.71,0.71
2008-05-01,0.72,0.75,0.71,0.75
2008-06-01,0.77,0.79,0.76,0.79
2008-07-01,0.81,0.82,0.78,0.78
2008-08-01,0.78,0.79,0.76,0.79
2008-09-01,0.78,0.8,0.77,0.8
2008-10-01,0.8,0.81,0.78,0.8
2008-11-01,0.8,0.81,0.77,0.77
2008-12-01,0.76,0.78,0.75,0.77
2009-01-01,0.76,0.78,0.75,0.75
2009-02-01,0.75,0.76,0.73,0.73
2009-03-01,0.73,0.75,0.72,0.74
2009-04-01,0.76,0.77,0.74,0.77
2009-05-01,0.79,0.81,0.78,0.8
2009-06-01,0.81,0.82,0.8,0.81
2009-07-01,0.81,0.83,0.8,0.81
2009-08-01,0.81,0.83,0.8,0.83
2009-09-01,0.82,0.85,0.81,0.85
2009-10-01,0.85,0.91,0.84,0.91
2009-11-01,0.92,0.94,0.9,0.9
2009-12-01,0.89,0.91,0.88,0.88
2010-01-01,0.85,0.87,0.83,0.83
2010-02-01,0.81,0.82,0.79,0.8
2010-03-01,0.79,0.8,0.77,0.77
2010-04-01,0.77,0.78,0.76,0.77
2010-05-01,0.78,0.79,0.77,0.78
2010-06-01,0.81,0.82,0.79,0.82
2010-07-01,0.84,0.86,0.82,0.82
2010-08-01,0.83,0.85,0.81,0.81
2010-09-01,0.81,0.82,0.79,0.82
2010-10-01,0.82,0.84,0.81,0.82
2010-11-01,0.82,0.84,0.81,0.84
2010-12-01,0.84,0.86,0.83,0.86
2011-01-01,0.88,0.89,0.84,0.84
2011-02-01,0.83,0.85,0.82,0.83
2011-03-01,0.82,0.84,0.81,0.83
2011-04-01,0.84,0.85,0.82,0.82
2011-05-01,0.83,0.84,0.81,0.81
2011-06-01,0.82,0.83,0.8,0.82
2011-07-01,0.83,0.84,0.82,0.83
2011-08-01,0.84,0.85,0.82,0.84
2011-09-01,0.85,0.86,0.83,0.84
2011-10-01,0.84,0.86,0.83,0.86
2011-11-01,0.87,0.88,0.85,0.88
2011-12-01,0.89,0.9,0.88,0.88
2012-01-01,0.87,0.89,0.86,0.87
2012-02-01,0.86,0.88,0.82,0.82
2012-03-01,0.81,0.83,0.8,0.83
2012-04-01,0.83,0.85,0.82,0.84
2012-05-01,0.85,0.87,0.84,0.84
2012-06-01,0.85,0.87,0.84,0.85
2012-07-01,0.85,0.87,0.84,0.86
2012-08-01,0.88,0.89,0.86,0.89
2012-09-01,0.9,0.91,0.88,0.9
2012-10-01,0.9,0.91,0.87,0.87
2012-11-01,0.87,0.88,0.85,0.86
2012-12-01,0.85,0.86,0.83,0.84
2013-01-01,0.84,0.85,0.83,0.83
