"month","1951-1960","1961-1970","1971-1980","1981-1990","1991-2000","2001-2010","2011-2020","Current Climatology Trend (1991-2020)"
"JAN",28.15,28.75,27.33,26.46,25.96,26.3,26.34,
"JAN",,,,,,,,27.27
"FEB",28.47,26.26,29.14,28.96,29.91,28.58,31.48,
"FEB",,,,,,,,29.87
"MAR",33.11,31.32,34.26,32.83,33.12,33.84,32.28,
"MAR",,,,,,,,33.37
"APR",34.63,35.63,34.81,36.01,37.77,37.53,36.35,
"APR",,,,,,,,36.86
"MAY",37.02,37.94,38.03,37.64,38.2,38.59,37.85,
"MAY",,,,,,,,38.33
"JUN",36.74,37.99,36.6,37.56,38.04,36.91,38.64,
"JUN",,,,,,,,37.99
"JUL",35.37,33.74,34.45,34.9,35.81,35.77,37.37,
"JUL",,,,,,,,36.15
"AUG",34.98,33.03,33.85,35.6,34.89,35.68,35.83,
"AUG",,,,,,,,35.34
"SEP",35.1,33.63,33.9,34.54,36.18,36.29,35.29,
"SEP",,,,,,,,35.91
"OCT",34.67,33.11,32.81,34.94,34.71,34.34,35.31,
"OCT",,,,,,,,34.99
"NOV",29.6,29.31,30.1,29.34,31.35,31.53,29.61,
"NOV",,,,,,,,31.5
"DEC",24.28,26.15,25.57,29.33,26.03,28.87,27.97,
"DEC",,,,,,,,28.16
"JAN",28.42,25.78,27.36,28.65,24.69,24.48,26.35,
"FEB",30.18,29.37,28.52,27.13,24.79,30.49,31.2,
"MAR",31.95,34.99,33.07,31.97,32.48,33.55,32.03,
"APR",35.88,35.87,36.33,36.57,36.05,37.34,37.41,
"MAY",36.87,37.62,38.01,36.9,37.96,38.18,38.97,
"JUN",35.51,37.31,36.62,37.39,38.47,37.81,38.26,
"JUL",35.21,35.88,35.37,35.68,36.11,37.55,36.18,
"AUG",33.13,33.8,35.31,34.74,34.32,36.09,35.3,
"SEP",34.58,34.42,35.81,34.88,34.8,36.64,35.72,
"OCT",33.91,34.31,34.82,33.15,34.96,35.14,35.61,
"NOV",30.63,32.65,29.3,28.43,29.77,32.52,32.09,
"DEC",29.25,28.65,27.12,26.61,26.28,27.6,28.24,
"JAN",28.74,29.08,27.77,21.95,25.19,28.66,29.19,
"FEB",30.46,31.14,32.47,28.18,27.85,29.92,31.63,
"MAR",32.36,32.2,33.12,30.28,33.11,32.39,35.12,
"APR",34.83,36.24,37.03,35.06,36.54,37.19,36.65,
"MAY",36.83,37.55,36.78,38.06,37.45,39.02,38.88,
"JUN",36.19,38.37,37.33,37.36,37.08,37.73,38.27,
"JUL",33.72,36.02,34.95,36.58,35.93,35.51,36.4,
"AUG",32.65,36,34.52,35.11,35.83,35.21,34.13,
"SEP",34.11,34.7,35.04,35.23,35.73,35.78,35.87,
"OCT",33.52,30.38,34.36,33.91,35.27,35.61,34.36,
"NOV",29.26,27,28.87,31.51,32.68,32.14,32.37,
"DEC",25.33,27.03,28.24,28.59,29.18,28.44,28.11,
"JAN",27.52,26.58,25.05,25.51,28.89,28.07,28.42,
"FEB",31.32,28.43,29.63,30.68,28.29,28.8,29.42,
"MAR",33.91,32.91,31.95,34.79,31.22,33.19,34.56,
"APR",35.72,35.49,37.49,36.87,37.09,36.95,37.47,
"MAY",37.8,35.79,36.77,38.21,37.47,40.04,37.87,
"JUN",35.08,37.78,36.03,35.98,36.48,37.38,38.17,
"JUL",32.87,36.9,33,35.01,34.85,36.78,36.15,
"AUG",31.9,34.28,33.67,35.03,34.54,35.8,34.87,
"SEP",32.94,33.08,33.86,35.37,34.78,36.03,35.25,
"OCT",32.68,28.72,34.03,34.9,35.17,35.42,34.01,
"NOV",30.54,25.03,30.87,30.13,29.65,31.95,31.25,
"DEC",26.18,24.43,25.42,27.51,25.63,27.89,29.47,
"JAN",26.59,27.14,25.44,30.03,27.76,26.46,26.75,
"FEB",29.44,30.08,30.17,26.88,28.11,32.99,32.43,
"MAR",33.4,32.4,33.01,34.32,33.35,33.59,35.01,
"APR",35.84,34.37,36.04,34.77,36.21,37.26,34.72,
"MAY",36.61,36.06,37.4,36.82,37.68,37.31,38.22,
"JUN",35.4,38.46,35.84,35.84,38.6,37.74,38.51,
"JUL",35.32,38.02,34.55,33.75,35.09,35.8,37.7,
"AUG",34.31,37.18,32.58,34.76,35.53,35.91,37.31,
"SEP",34.52,33.17,33.4,33.97,35.56,35.87,37.62,
"OCT",34.49,29.57,33.19,33.14,34.72,34.66,35.94,
"NOV",30.53,27.83,30.95,30.98,29.65,30.98,31.47,
