"month","1951-1960","1961-1970","1971-1980","1981-1990","1991-2000","2001-2010","2011-2020","Current Climatology Trend (1991-2020)"
"JAN",20.09,21.24,20.05,19.16,19.46,19.23,19.39,
"JAN",,,,,,,,20.14
"FEB",20.4,19.37,21.22,21.2,22.51,21.37,23.96,
"FEB",,,,,,,,22.47
"MAR",25.1,23.97,26.45,25.7,25.72,26.52,25.04,
"MAR",,,,,,,,25.95
"APR",26.42,28.17,27.5,28.46,30.73,30.25,29.11,
"APR",,,,,,,,29.59
"MAY",29.87,30.42,31.16,30.89,31.87,31.68,31.06,
"MAY",,,,,,,,31.63
"JUN",29.79,31.34,30.12,31.23,31.56,30.48,32.27,
"JUN",,,,,,,,31.66
"JUL",29.14,28.46,28.86,29.46,30.18,30.16,31.34,
"JUL",,,,,,,,30.44
"AUG",29.08,27.99,28.46,29.79,29.37,30.28,30.28,
"AUG",,,,,,,,29.93
"SEP",28.87,27.49,28.01,28.67,29.87,30.32,29.31,
"SEP",,,,,,,,29.96
"OCT",27.78,26.25,26.14,28.53,28.3,27.92,28.79,
"OCT",,,,,,,,28.6
"NOV",22.17,22.13,23.13,22.48,24.65,24.53,22.45,
"NOV",,,,,,,,24.67
"DEC",16.49,18.6,18.6,21.72,19.11,21.77,20.75,
"DEC",,,,,,,,21.14
"JAN",20.22,18.15,19.79,21.61,17.86,17.72,19.09,
"FEB",22.09,21.41,20.8,19.89,17.92,23.13,23.64,
"MAR",24.07,26.82,25.3,24.89,25.4,26.13,24.59,
"APR",27.96,28.21,28.88,28.92,28.8,29.86,29.9,
"MAY",29.52,30.45,31.01,29.96,31.09,31.1,32.27,
"JUN",28.63,30.85,30.55,30.69,31.85,31.46,32.13,
"JUL",28.63,30.06,29.66,29.67,30.16,31.55,30.63,
"AUG",27.79,28.55,29.57,29.11,29.05,30.4,29.93,
"SEP",28.29,28.37,29.71,28.89,28.89,30.47,29.62,
"OCT",27.03,27.84,28.46,26.96,28.36,28.84,29.12,
"NOV",22.77,25.88,22.69,21.37,23.32,25.76,25.23,
"DEC",21.3,21.22,19.85,19.04,19.23,20.62,21.21,
"JAN",20.19,21.5,20.08,15.31,18.32,21.23,22.04,
