"month","1951-1960","1961-1970","1971-1980","1981-1990","1991-2000","2001-2010","2011-2020","Current Climatology Trend (1991-2020)"
"JAN",12.92,15.2,13.64,12.74,13.43,12.69,13.17,
"JAN",,,,,,,,13.64
"FEB",12.87,13.67,14.09,13.9,15.45,14.6,17.18,
"FEB",,,,,,,,15.56
"MAR",17.32,17.81,18.85,18.44,18.43,19.24,18.32,
"MAR",,,,,,,,18.72
"APR",18,21.43,20,20.56,23.82,22.79,22.22,
"APR",,,,,,,,22.18
"MAY",23.07,23.6,23.85,24.09,25.79,24.74,24.57,
"MAY",,,,,,,,24.79
"JUN",22.97,25.51,23.58,24.81,25.16,24.08,26.02,
"JUN",,,,,,,,25.27
"JUL",23.14,23.87,23.31,24.3,24.74,24.68,25.54,
"JUL",,,,,,,,24.88
"AUG",23.3,23.69,23.31,24.18,24.25,25.33,25.17,
"AUG",,,,,,,,24.78
"SEP",23.18,22.44,22.32,23.03,24,24.85,23.9,
"SEP",,,,,,,,24.32
"OCT",21.86,20.72,19.6,22.45,22.46,22.23,23.25,
"OCT",,,,,,,,22.68
"NOV",15.51,16.51,16.5,16.3,18.48,18.35,16.31,
"NOV",,,,,,,,18.4
"DEC",9.5,12.75,12.28,15.01,12.86,15.52,14.68,
"DEC",,,,,,,,14.83
"JAN",12.83,12.1,12.89,15.12,11.5,11.7,12.81,
"FEB",14.39,14.87,13.64,12.99,11.41,16.62,17.12,
"MAR",16.25,19.95,18,17.96,18.72,19.13,17.75,
"APR",20.03,21.46,21.34,20.83,21.45,22.5,22.43,
"MAY",22.64,24.09,24.03,22.86,24.06,23.72,25.67,
"JUN",22.69,25.08,24.68,23.86,25.37,25.11,26.05,
"JUL",22.75,24.75,24.18,23.76,24.48,25.77,25.34,
"AUG",23.04,24.21,24.28,23.7,24.09,25.12,25,
"SEP",22.53,23.39,24.15,23.07,23.22,25,23.95,
"OCT",21.08,22.89,22.65,20.99,22.17,23.02,23.41,
"NOV",16,20.56,16.74,14.81,17.26,19.61,19.28,
"DEC",14.46,15.43,13.27,12.16,12.71,14.39,15.18,
"JAN",12.64,15.49,13.29,9.11,11.99,14.58,15.88,
"FEB",14.44,16.77,17.18,13.38,13.3,15.62,17.31,
"MAR",15.9,18.16,18.29,15.21,18.24,18.15,19.83,
"APR",18.83,21.4,22.67,20.51,22.13,22.05,22.02,
"MAY",23.41,24.37,23.55,23.7,24.26,24.83,25.06,
"JUN",23.2,25.45,24.21,24.64,24.01,25.54,25.5,
"JUL",22.91,23.86,23.9,24.85,24.01,24.75,25.22,
"AUG",22.5,24.18,23.38,23.85,24.1,24.8,24.59,
"SEP",21.95,23.17,23.54,23.04,23.54,24.44,24.58,
"OCT",20.44,21.26,21.94,20.68,22.8,23.19,21.98,
"NOV",15.35,18.13,15.83,17.65,19.45,19.59,19.14,
"DEC",10.44,14.95,14.29,15.15,15.82,15.09,15.21,
"JAN",12.45,13.13,12.1,11.43,15.27,14.44,14.98,
"FEB",16.16,14.12,14.96,15.76,13.9,14.67,15.66,
"MAR",17.98,17.11,17.22,19.6,16.24,18.83,20.74,
"APR",20.59,20.24,21.73,21.17,22.11,22.76,24.35,
"MAY",23.34,21.21,23.12,23.84,23.74,25.82,25.08,
"JUN",23.34,23.18,23.68,22.84,23.73,24.75,25.46,
"JUL",23.23,23.69,22.97,22.97,23.92,24.78,25.2,
"AUG",23.04,23.55,23.31,22.67,24.07,24.84,24.6,
"SEP",22.44,22.05,22.7,22.84,23.84,24.17,24.11,
"OCT",20.94,20.56,20.97,21.57,23.21,23.02,22.09,
"NOV",18.44,17.18,17.51,16.4,17.09,18.98,18.03,
"DEC",13.57,14.75,12.15,14.09,12.95,14.58,15.86,
"JAN",12.93,14.23,11.89,15.68,14.12,12.69,12.74,
"FEB",14.97,15.78,16.41,12.28,13.86,18.36,17.15,
"MAR",18.99,17.6,17.78,19.07,18.57,19.22,20.97,
"APR",21.3,19.04,21.36,20.36,20.9,22.52,19.99,
"MAY",23.69,20.79,23.33,23.46,23.91,23.79,24.93,
"JUN",23.89,23.37,23.09,23.45,25.61,25.43,25.54,
"JUL",23.71,23.78,23.29,22.73,24.27,25.02,25.41,
"AUG",23.53,24.41,22.71,23.08,24.34,25.33,26.06,
"SEP",23.21,22.39,22.11,22.51,23.7,24.33,25.54,
"OCT",21.77,19.94,20.12,20.79,22.25,22.51,24,
"NOV",17.24,16.94,17.26,17.67,16.05,17.66,18.47,
"DEC",12.69,14.79,13.08,14.98,13.48,17.34,13.03,
"JAN",11.66,15.2,12.88,13.26,12.68,15.83,11.97,
"FEB",16.73,14.68,14.29,16.15,14.92,17.09,15.34,
"MAR",19.8,16.16,19.25,19.62,18.3,18.82,21.66,
"APR",19.97,18.86,21.44,20.51,20.47,20.88,22.68,
"MAY",22.24,22.76,23.78,22.6,24.99,25.13,25.3,
"JUN",23.79,23.69,24,23.77,23.65,25.68,25.98,
"JUL",23.22,23.6,23.05,23.77,23.68,24.89,25.12,
"AUG",23.33,24.26,23.09,23.93,24.23,24.96,24.77,
"SEP",22.72,22.59,23.08,23.35,23.63,24.39,24.48,
"OCT",20.49,21.45,22.94,21.5,21.65,23,22.93,
"NOV",18.64,19.02,18.08,17.4,17.01,16.6,20.09,
"DEC",14.57,16.76,15.66,12.53,14.22,12.68,15.51,
"JAN",12.7,14.26,11.75,12.75,13.93,12.11,15.89,
"FEB",12.86,15.18,15.08,16.54,11.86,14.93,14.25,
"MAR",18.19,17.11,17.36,18.29,17.61,18.58,18.46,
"APR",20.03,20.95,19.52,20.47,20.99,22.35,23.09,
"MAY",23.61,22.54,23.23,23.92,23.45,25.47,25.31,
"JUN",24.52,23.4,24,24.23,25.04,25.03,26.03,
"JUL",24.55,23.5,23.61,25.13,23.89,23.95,25.41,
"AUG",24.47,23.65,23.71,24.48,24.16,24.51,25.47,
"SEP",24.68,22.81,23.12,24.1,24.28,23.45,24.37,
"OCT",23.19,20.75,20.14,21.48,22.53,22.59,21.97,
"NOV",19.89,16.23,16.44,18.52,17.58,19.33,18.3,
"DEC",16.01,14.93,12.88,14.35,14.07,15.26,16.83,
"JAN",14.29,13.52,12.08,13.42,11.82,14.05,12.51,
"FEB",13.78,13.38,15.22,14.33,14,13.97,18.7,
"MAR",19.16,17.2,17.66,19.15,16.96,19.72,20.13,
"APR",24.11,19.53,22.63,21.71,22.64,23.21,21.21,
"MAY",24.64,22.5,24.3,24.65,25.18,24.21,25.32,
"JUN",24.76,23.97,23.89,25.44,25.49,25.36,25.71,
"JUL",24.57,23.84,23.59,24.62,24.89,24.84,25.18,
"AUG",24.41,23.88,22.77,23.77,25.12,25.06,24.75,
"SEP",23.66,23.69,23.15,23.7,24.29,24.7,25.05,
"OCT",21.61,21.73,22.16,21.3,22.7,21.84,23.07,
"NOV",19.35,18.31,15.72,17.37,19.15,18.7,18.42,
"DEC",16.55,14.27,15.16,15.77,15.71,16.51,14.55,
"JAN",13.53,11.93,13.89,10.11,14.49,15.29,14.95,
"FEB",13.03,15.35,17.69,11.8,18.63,16.93,16.71,
"MAR",17.88,20.84,18.95,17.34,17.59,17.88,18.16,
"APR",22.36,22.32,23.29,21.37,20.86,24.03,21.83,
"MAY",24.64,23.68,24.41,24.6,25.18,24.17,25.54,
"JUN",25.45,25.02,25.71,24.6,24.93,25.96,25.91,
"JUL",24.32,24.04,24.97,24.48,24.68,25.56,25.43,
"AUG",23.83,23.86,24.71,24.53,24.49,25.23,24.66,
"SEP",23.21,23.94,24.55,24.38,24.44,25.07,24.64,
"OCT",21.17,22.38,23.07,21.38,22.5,23.12,23.02,
"NOV",18.59,17.91,20.19,17.8,18.63,18.79,19.02,
"DEC",14.87,15.27,12.83,13.79,15.46,14.53,14.71,
"JAN",13.04,13.03,13.45,14.2,13.89,15.85,11.83,
"FEB",16.06,14.89,14.97,13.55,14.91,18.02,14.29,
"MAR",18.15,17.13,19.43,15.9,16.37,19.73,19.15,
"APR",22.58,21.32,22.6,22.18,22.15,23.18,21.9,
"MAY",24.07,23.92,24.64,24.3,24.65,25.03,24.73,
"JUN",25.44,23.77,24.62,24.81,24.7,25.98,25.44,
"JUL",24.61,23.79,24.1,24.48,25.06,25.58,25.13,
"AUG",24.61,23.71,23.71,24.27,24.42,25.55,24.3,
"SEP",23.79,23.19,23.24,24,23.95,24.71,24.87,
"OCT",22.8,21.06,22.33,22.84,21.03,23.94,22.82,
"NOV",17.88,17.41,18.14,20.62,17.84,20.82,17.96,
"DEC",18.29,12.63,14.89,18.53,14.19,15.89,16.22,
