"month","1951-1960","1961-1970","1971-1980","1981-1990","1991-2000","2001-2010","2011-2020","Current Climatology Trend (1991-2020)"
"JAN",0.48,1.23,0.8,0.54,0.65,0.59,0.68,
"JAN",,,,,,,,0.67
"FEB",0.23,0.43,0.4,0.44,0.5,0.33,0.24,
"FEB",,,,,,,,0.38
"MAR",1.16,0.42,0.45,2.73,0.64,0.5,0.52,
"MAR",,,,,,,,0.7
"APR",0.58,0.92,0.9,2.65,9.02,2.7,0.87,
"APR",,,,,,,,2.94
"MAY",40.49,5.85,11.42,23.39,29.02,9.69,16.47,
"MAY",,,,,,,,13.63
"JUN",21.51,35.85,24.84,35.17,22.31,30.01,11.89,
"JUN",,,,,,,,23.07
"JUL",37.2,59.22,56.19,72.06,59.37,61.17,30.22,
"JUL",,,,,,,,51.69
"AUG",47.03,76.27,76.78,52.81,68.43,69.11,54.64,
"AUG",,,,,,,,64.04
"SEP",59.67,37.71,52.53,38.38,25.39,39.94,33.03,
"SEP",,,,,,,,33.84
"OCT",45.96,17.23,16.56,18.69,15.17,10.98,13.57,
"OCT",,,,,,,,14.93
"NOV",2.03,1.75,0.97,1.53,0.54,1.36,0.44,
"NOV",,,,,,,,1.33
"DEC",0.37,0.93,0.31,0.83,0.66,1.34,0.82,
"DEC",,,,,,,,0.84
"JAN",0.87,0.69,0.73,1.11,0.25,0.51,0.63,
"FEB",0.66,0.3,0.5,0.26,0.15,0.61,0.35,
"MAR",0.55,2.15,0.2,3.28,0.81,1.03,0.16,
"APR",9.45,1.35,7.68,6.27,3.84,1.22,0.36,
"MAY",58.46,9,21.78,19.28,10.76,5.62,10.53,
"JUN",61.09,26.19,46.29,19.55,20.55,24.08,24.27,
"JUL",57.01,23.95,54.68,45.11,45.95,39.43,46.16,
"AUG",94.25,69.61,58.92,53.65,83.31,56.1,58.2,
"SEP",53.23,49.32,44.83,41.84,30.48,35.16,28.02,
"OCT",33.61,44.84,27.14,28.96,18.52,13.45,11.16,
"NOV",1.62,6.65,1.99,0.7,3.48,1.4,1.75,
"DEC",1.04,1.09,0.61,0.59,0.62,0.52,0.91,
"JAN",0.72,1.78,0.76,1.47,0.9,0.29,0.54,
"FEB",0.65,0.82,0.51,0.29,0.34,0.43,0.27,
"MAR",1.41,0.29,0.65,0.45,0.47,0.21,0.21,
"APR",3.21,0.48,8.35,1.62,7.51,1.1,0.34,
"MAY",73.07,3.57,21.9,13.73,26.11,11.7,6.44,
"JUN",48.1,5.03,25.36,37.63,25.02,29.75,18.09,
"JUL",86.01,17.93,73.27,42.87,43.1,63.94,38.35,
"AUG",104.08,32.35,47.7,46.94,49.6,67.28,80.8,
"SEP",57.8,58.51,34.51,30,36.25,32.78,28.2,
"OCT",41.02,146.91,22.54,7.82,19.73,14.84,9.06,
"NOV",4.8,57.2,0.92,0.84,2.1,1.25,0.8,
"DEC",0.36,6.54,0.68,0.77,0.7,0.83,0.68,
"JAN",0.47,3.48,0.75,0.71,0.77,0.54,0.61,
"FEB",0.53,1.55,0.57,0.53,0.53,0.39,0.36,
"MAR",0.63,0.17,0.95,1.52,0.11,0.13,2.07,
"APR",7.21,0.06,6.37,2.19,1.15,3.25,8.86,
"MAY",13.25,0,19.05,18.9,20.12,8.79,15.34,
