,Average Precipitation,Average Max Surface Air Temp,Average Mean Surface Air Temp,Average Min Surface Air Temp
1951-01-01,0.48,28.15,20.09,12.92
1951-02-01,0.23,28.47,20.4,12.87
1951-03-01,1.16,33.11,25.1,17.32
1951-04-01,0.58,34.63,26.42,18.0
1951-05-01,40.49,37.02,29.87,23.07
1951-06-01,21.51,36.74,29.79,22.97
1951-07-01,37.2,35.37,29.14,23.14
1951-08-01,47.03,34.98,29.08,23.3
1951-09-01,59.67,35.1,28.87,23.18
1951-10-01,45.96,34.67,27.78,21.86
1951-11-01,2.03,29.6,22.17,15.51
1951-12-01,0.37,24.28,16.49,9.5
1952-01-01,0.87,28.42,20.22,12.83
1952-02-01,0.66,30.18,22.09,14.39
1952-03-01,0.55,31.95,24.07,16.25
1952-04-01,9.45,35.88,27.96,20.03
1952-05-01,58.46,36.87,29.52,22.64
1952-06-01,61.09,35.51,28.63,22.69
1952-07-01,57.01,35.21,28.63,22.75
1952-08-01,94.25,33.13,27.79,23.04
1952-09-01,53.23,34.58,28.29,22.53
1952-10-01,33.61,33.91,27.03,21.08
1952-11-01,1.62,30.63,22.77,16.0
1952-12-01,1.04,29.25,21.3,14.46
1953-01-01,0.72,28.74,20.19,12.64
1953-02-01,0.65,30.46,22.18,14.44
1953-03-01,1.41,32.36,23.93,15.9
1953-04-01,3.21,34.83,27.02,18.83
1953-05-01,73.07,36.83,29.87,23.41
1953-06-01,48.1,36.19,29.46,23.2
1953-07-01,86.01,33.72,28.0,22.91
1953-08-01,104.08,32.65,27.24,22.5
1953-09-01,57.8,34.11,27.61,21.95
1953-10-01,41.02,33.52,26.41,20.44
1953-11-01,4.8,29.26,21.8,15.35
1953-12-01,0.36,25.33,17.44,10.44
1954-01-01,0.47,27.52,19.06,12.45
1954-02-01,0.53,31.32,22.98,16.16
1954-03-01,0.63,33.91,25.48,17.98
1954-04-01,7.21,35.72,27.9,20.59
1954-05-01,13.25,37.8,30.43,23.34
1954-06-01,32.68,35.08,29.21,23.34
1954-07-01,78.85,32.87,27.91,23.23
1954-08-01,88.96,31.9,27.25,23.04
1954-09-01,35.74,32.94,27.5,22.44
1954-10-01,18.43,32.68,26.54,20.94
1954-11-01,1.52,30.54,24.08,18.44
1954-12-01,0.71,26.18,19.3,13.57
1955-01-01,0.61,26.59,19.11,12.93
1955-02-01,0.38,29.44,21.58,14.97
1955-03-01,0.87,33.4,25.82,18.99
1955-04-01,1.84,35.84,28.48,21.3
1955-05-01,18.62,36.61,30.1,23.69
1955-06-01,48.47,35.4,29.47,23.89
1955-07-01,42.62,35.32,29.23,23.71
1955-08-01,51.14,34.31,28.63,23.53
1955-09-01,45.47,34.52,28.48,23.21
1955-10-01,30.27,34.49,27.51,21.77
1955-11-01,2.4,30.53,23.28,17.24
1955-12-01,0.73,26.59,18.88,12.69
1956-01-01,0.3,26.1,18.12,11.66
1956-02-01,0.31,32.28,23.9,16.73
1956-03-01,0.23,34.47,26.68,19.8
1956-04-01,2.19,35.41,27.51,19.97
1956-05-01,9.2,37.04,29.43,22.24
1956-06-01,22.24,36.92,30.16,23.79
1956-07-01,65.63,33.97,28.33,23.22
1956-08-01,102.6,32.95,27.75,23.33
1956-09-01,45.35,34.02,27.96,22.72
1956-10-01,17.79,32.99,26.24,20.49
1956-11-01,0.7,32.41,24.95,18.64
1956-12-01,0.98,27.77,20.5,14.57
1957-01-01,0.74,26.18,18.84,12.7
1957-02-01,0.62,26.52,19.17,12.86
1957-03-01,2.53,32.07,24.8,18.19
1957-04-01,0.52,34.81,27.36,20.03
1957-05-01,17.69,37.01,30.32,23.61
1957-06-01,28.88,36.95,30.6,24.52
1957-07-01,46.81,35.52,29.65,24.55
1957-08-01,53.35,34.72,29.25,24.47
1957-09-01,59.11,36.09,29.7,24.68
1957-10-01,25.06,35.46,28.6,23.19
1957-11-01,5.59,33.01,25.67,19.89
1957-12-01,1.17,29.2,21.76,16.01
1958-01-01,0.64,28.11,20.45,14.29
1958-02-01,0.32,28.16,20.32,13.78
1958-03-01,0.16,34.27,26.05,19.16
1958-04-01,12.89,37.92,30.53,24.11
1958-05-01,15.54,37.46,30.62,24.64
1958-06-01,33.35,36.63,30.36,24.76
1958-07-01,57.97,34.5,29.2,24.57
1958-08-01,40.73,34.87,29.27,24.41
1958-09-01,30.78,35.02,28.86,23.66
1958-10-01,17.78,34.06,27.11,21.61
1958-11-01,2.27,32.39,25.1,19.35
1958-12-01,0.76,30.02,22.42,16.55
1959-01-01,0.64,27.03,19.62,13.53
1959-02-01,0.25,26.46,19.14,13.03
1959-03-01,0.6,32.47,24.5,17.88
1959-04-01,4.78,36.62,28.98,22.36
1959-05-01,11.71,38.26,31.11,24.64
1959-06-01,21.02,37.87,31.23,25.45
1959-07-01,58.59,35.11,29.26,24.32
1959-08-01,77.73,33.14,28.04,23.83
1959-09-01,37.81,34.1,28.13,23.21
1959-10-01,12.57,33.71,26.76,21.17
1959-11-01,2.12,31.67,24.32,18.59
1959-12-01,0.99,28.34,20.74,14.87
1960-01-01,0.5,27.0,19.14,13.04
1960-02-01,0.92,30.17,22.36,16.06
1960-03-01,0.43,32.49,24.74,18.15
1960-04-01,4.36,36.78,29.23,22.58
1960-05-01,8.86,37.35,30.42,24.07
1960-06-01,23.61,37.75,31.17,25.44
1960-07-01,38.41,35.74,29.83,24.61
