"STATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"62941099999","1957-07-01","  69.3","000000","999.9","  90.0","  70.0","  1.9"," 0.00","1010.9","999.9","999.9","  77.0"," 14.9","  0.7"
"62941099999","1957-07-02","  69.0","000000","999.9","  93.0","  70.0","  5.1"," 0.00","1010.6","999.9","999.9","  79.0"," 14.9","  1.5"
"62941099999","1957-07-03","  71.7","000000","999.9","  90.0","  70.0","  4.1"," 0.00","1010.9","999.9","999.9","  78.5"," 14.9","  1.7"
"62941099999","1957-07-04","  70.0","000000","999.9","  90.0","  70.0","  6.0"," 0.00","1010.0","999.9","999.9","  79.0"," 14.9","  2.0"
"62941099999","1957-07-05","  71.2","000010","999.9","  91.0","  72.0","  6.0"," 0.00","1011.0","999.9","999.9","  79.2"," 14.9","  2.0"
"62941099999","1957-07-06","  69.5","010010","999.9","  88.0","  72.0","  6.0"," 0.04","1011.8","999.9","999.9","  77.3"," 14.9","  2.5"
"62941099999","1957-07-07","  69.0","000010","999.9","  91.0","  68.0","  6.0"," 0.00","1011.6","999.9","999.9","  77.5"," 14.9","  2.2"
"62941099999","1957-07-08","  71.7","000000","999.9","  91.0","  72.0","  1.0"," 0.04","1010.4","999.9","999.9","  77.3"," 14.9","  0.5"
"62941099999","1957-07-09","  70.0","000000","999.9","  86.0","  68.0","  6.0"," 0.00","1011.8","999.9","999.9","  77.0"," 14.9","  2.0"
"62941099999","1957-07-10","  69.0","000000","999.9","  90.0","  68.0","  2.9"," 0.00","1010.3","999.9","999.9","  77.0"," 14.9","  1.0"
"62941099999","1957-07-11","  68.5","000000","999.9","  91.0","  72.0","  1.9"," 0.00","1009.0","999.9","999.9","  78.3"," 13.7","  1.5"
"62941099999","1957-07-12","  68.0","000000","999.9","  88.0","  70.0","  2.9"," 0.00","1009.5","999.9","999.9","  77.0"," 14.3","  1.5"
