Region,Market,Date,Open,High,Low,Close
Autonomous region in Muslim Mindanao,Basilan,2007-08-01,45.5,46.07,45.06,46.07
Autonomous region in Muslim Mindanao,Basilan,2007-09-01,46.29,46.73,45.85,46.13
Autonomous region in Muslim Mindanao,Basilan,2007-10-01,46.07,46.5,44.38,44.38
Autonomous region in Muslim Mindanao,Basilan,2007-11-01,43.76,44.25,43.22,43.22
Autonomous region in Muslim Mindanao,Basilan,2007-12-01,43.03,43.5,41.74,41.74
Autonomous region in Muslim Mindanao,Basilan,2008-01-01,41.26,41.75,40.77,40.94
Autonomous region in Muslim Mindanao,Basilan,2008-02-01,40.84,41.3,40.37,40.67
Autonomous region in Muslim Mindanao,Basilan,2008-03-01,40.59,41.25,40.15,41.25
Autonomous region in Muslim Mindanao,Basilan,2008-04-01,41.52,41.98,41.07,41.82
Autonomous region in Muslim Mindanao,Basilan,2008-05-01,41.91,42.9,41.46,42.9
Autonomous region in Muslim Mindanao,Basilan,2008-06-01,43.31,44.28,42.83,44.28
Autonomous region in Muslim Mindanao,Basilan,2008-07-01,44.64,45.14,44.13,44.96
Autonomous region in Muslim Mindanao,Basilan,2008-08-01,45.1,45.6,44.6,44.88
Autonomous region in Muslim Mindanao,Basilan,2008-09-01,44.77,45.26,44.29,44.88
Autonomous region in Muslim Mindanao,Basilan,2008-10-01,44.94,46.69,44.47,46.69
Autonomous region in Muslim Mindanao,Basilan,2008-11-01,47.35,48.03,46.79,48.03
Autonomous region in Muslim Mindanao,Basilan,2008-12-01,48.29,49.19,47.72,49.19
Autonomous region in Muslim Mindanao,Basilan,2009-01-01,49.52,50.11,48.09,48.09
Autonomous region in Muslim Mindanao,Basilan,2009-02-01,47.57,48.17,46.96,47.21
Autonomous region in Muslim Mindanao,Basilan,2009-03-01,47.08,47.65,46.51,47.58
Autonomous region in Muslim Mindanao,Basilan,2009-04-01,47.77,48.46,47.21,48.46
Autonomous region in Muslim Mindanao,Basilan,2009-05-01,48.72,49.29,48.16,48.22
Autonomous region in Muslim Mindanao,Basilan,2009-06-01,48.02,48.57,47.47,47.52
Autonomous region in Muslim Mindanao,Basilan,2009-07-01,47.35,47.9,46.82,47.9
Autonomous region in Muslim Mindanao,Basilan,2009-08-01,48.11,48.64,47.59,48.15
Autonomous region in Muslim Mindanao,Basilan,2009-09-01,48.16,48.67,47.65,48.14
Autonomous region in Muslim Mindanao,Basilan,2009-10-01,48.13,48.63,46.85,46.85
Autonomous region in Muslim Mindanao,Basilan,2009-11-01,46.38,47.03,45.86,47.03
Autonomous region in Muslim Mindanao,Basilan,2009-12-01,47.29,47.81,46.42,46.42
Autonomous region in Muslim Mindanao,Basilan,2010-01-01,46.08,46.59,45.57,46.03
Autonomous region in Muslim Mindanao,Basilan,2010-02-01,46.03,46.52,45.54,46.31
Autonomous region in Muslim Mindanao,Basilan,2010-03-01,46.4,46.88,45.74,45.74
Autonomous region in Muslim Mindanao,Basilan,2010-04-01,45.51,45.99,44.63,44.63
Autonomous region in Muslim Mindanao,Basilan,2010-05-01,44.29,45.6,43.81,45.6
Autonomous region in Muslim Mindanao,Basilan,2010-06-01,46.12,46.65,45.6,46.3
Autonomous region in Muslim Mindanao,Basilan,2010-07-01,46.34,46.86,45.83,46.32
Autonomous region in Muslim Mindanao,Basilan,2010-08-01,46.34,46.84,45.18,45.18
Autonomous region in Muslim Mindanao,Basilan,2010-09-01,44.73,45.24,44.22,44.31
Autonomous region in Muslim Mindanao,Basilan,2010-10-01,44.19,44.68,43.44,43.44
Autonomous region in Muslim Mindanao,Basilan,2010-11-01,43.14,43.62,42.66,43.49
Autonomous region in Muslim Mindanao,Basilan,2010-12-01,43.66,44.13,43.19,43.95
Autonomous region in Muslim Mindanao,Basilan,2011-01-01,44.03,44.49,43.57,44.17
Autonomous region in Muslim Mindanao,Basilan,2011-02-01,44.26,44.71,43.7,43.7
Autonomous region in Muslim Mindanao,Basilan,2011-03-01,43.46,43.91,43.02,43.52
Autonomous region in Muslim Mindanao,Basilan,2011-04-01,43.57,44.0,43.14,43.24
Autonomous region in Muslim Mindanao,Basilan,2011-05-01,43.08,43.5,42.66,43.13
Autonomous region in Muslim Mindanao,Basilan,2011-06-01,43.18,43.59,42.78,43.37
Autonomous region in Muslim Mindanao,Basilan,2011-07-01,43.4,43.8,42.81,42.81
Autonomous region in Muslim Mindanao,Basilan,2011-08-01,42.62,43.02,42.22,42.42
Autonomous region in Muslim Mindanao,Basilan,2011-09-01,42.32,43.03,41.93,43.03
Autonomous region in Muslim Mindanao,Basilan,2011-10-01,43.32,43.73,42.92,43.45
Autonomous region in Muslim Mindanao,Basilan,2011-11-01,43.47,43.87,43.07,43.27
Autonomous region in Muslim Mindanao,Basilan,2011-12-01,43.23,43.65,42.84,43.65
Autonomous region in Muslim Mindanao,Basilan,2012-01-01,43.78,44.18,43.39,43.62
Autonomous region in Muslim Mindanao,Basilan,2012-02-01,43.58,43.97,42.66,42.66
Autonomous region in Muslim Mindanao,Basilan,2012-03-01,42.3,42.86,41.9,42.86
Autonomous region in Muslim Mindanao,Basilan,2012-04-01,43.1,43.5,42.69,42.7
Autonomous region in Muslim Mindanao,Basilan,2012-05-01,42.52,42.92,42.12,42.85
Autonomous region in Muslim Mindanao,Basilan,2012-06-01,43.01,43.41,42.61,42.78
Autonomous region in Muslim Mindanao,Basilan,2012-07-01,42.65,43.04,41.91,41.91
Autonomous region in Muslim Mindanao,Basilan,2012-08-01,41.66,42.06,41.27,42.05
Autonomous region in Muslim Mindanao,Basilan,2012-09-01,42.16,42.56,41.75,41.75
Autonomous region in Muslim Mindanao,Basilan,2012-10-01,41.61,42.0,41.23,41.45
Autonomous region in Muslim Mindanao,Basilan,2012-11-01,41.37,41.75,40.99,41.12
Autonomous region in Muslim Mindanao,Basilan,2012-12-01,41.05,41.42,40.68,41.01
Autonomous region in Muslim Mindanao,Basilan,2013-01-01,40.98,41.34,40.61,40.73
Autonomous region in Muslim Mindanao,Basilan,2013-02-01,40.65,41.01,40.3,40.67
Autonomous region in Muslim Mindanao,Basilan,2013-03-01,40.67,41.02,40.32,40.71
Autonomous region in Muslim Mindanao,Basilan,2013-04-01,40.74,41.14,40.4,41.14
Autonomous region in Muslim Mindanao,Basilan,2013-05-01,41.28,41.63,40.93,41.3
Autonomous region in Muslim Mindanao,Basilan,2013-06-01,41.31,42.91,40.97,42.91
Autonomous region in Muslim Mindanao,Basilan,2013-07-01,43.53,43.98,43.08,43.36
Autonomous region in Muslim Mindanao,Basilan,2013-08-01,43.28,43.86,42.84,43.86
Autonomous region in Muslim Mindanao,Basilan,2013-09-01,44.09,44.54,43.65,43.83
Autonomous region in Muslim Mindanao,Basilan,2013-10-01,43.72,44.16,43.18,43.18
Autonomous region in Muslim Mindanao,Basilan,2013-11-01,42.99,43.55,42.56,43.55
Autonomous region in Muslim Mindanao,Basilan,2013-12-01,43.76,44.19,43.33,44.1
Autonomous region in Muslim Mindanao,Basilan,2014-01-01,44.24,44.93,43.81,44.93
Autonomous region in Muslim Mindanao,Basilan,2014-02-01,45.19,45.63,44.74,44.9
Autonomous region in Muslim Mindanao,Basilan,2014-03-01,44.78,45.22,44.35,44.79
Autonomous region in Muslim Mindanao,Basilan,2014-04-01,44.8,45.22,44.37,44.64
Autonomous region in Muslim Mindanao,Basilan,2014-05-01,44.58,44.99,43.92,43.92
Autonomous region in Muslim Mindanao,Basilan,2014-06-01,43.68,44.09,43.27,43.82
Autonomous region in Muslim Mindanao,Basilan,2014-07-01,43.87,44.28,43.47,43.47
Autonomous region in Muslim Mindanao,Basilan,2014-08-01,43.31,43.77,42.91,43.77
Autonomous region in Muslim Mindanao,Basilan,2014-09-01,43.95,44.35,43.55,44.08
Autonomous region in Muslim Mindanao,Basilan,2014-10-01,44.11,44.8,43.72,44.8
Autonomous region in Muslim Mindanao,Basilan,2014-11-01,45.07,45.48,44.66,44.95
Autonomous region in Muslim Mindanao,Basilan,2014-12-01,44.89,45.3,44.49,44.69
Autonomous region in Muslim Mindanao,Basilan,2015-01-01,44.63,45.02,44.23,44.6
Autonomous region in Muslim Mindanao,Basilan,2015-02-01,44.58,44.97,44.2,44.22
Autonomous region in Muslim Mindanao,Basilan,2015-03-01,44.1,44.48,43.71,44.45
Autonomous region in Muslim Mindanao,Basilan,2015-04-01,44.57,44.95,44.19,44.41
Autonomous region in Muslim Mindanao,Basilan,2015-05-01,44.36,44.74,43.98,44.61
Autonomous region in Muslim Mindanao,Basilan,2015-06-01,44.7,45.08,44.33,44.98
Autonomous region in Muslim Mindanao,Basilan,2015-07-01,45.09,45.47,44.72,45.26
Autonomous region in Muslim Mindanao,Basilan,2015-08-01,45.33,46.14,44.95,46.14
Autonomous region in Muslim Mindanao,Basilan,2015-09-01,46.46,46.86,46.06,46.75
Autonomous region in Muslim Mindanao,Basilan,2015-10-01,46.85,47.26,46.36,46.36
Autonomous region in Muslim Mindanao,Basilan,2015-11-01,46.18,47.01,45.78,47.01
Autonomous region in Muslim Mindanao,Basilan,2015-12-01,47.32,47.75,46.9,47.23
Autonomous region in Muslim Mindanao,Basilan,2016-01-01,47.19,47.61,46.77,47.51
Autonomous region in Muslim Mindanao,Basilan,2016-02-01,47.64,48.06,47.22,47.64
Autonomous region in Muslim Mindanao,Basilan,2016-03-01,47.63,48.04,46.72,46.72
Autonomous region in Muslim Mindanao,Basilan,2016-04-01,46.39,46.82,45.97,46.28
Autonomous region in Muslim Mindanao,Basilan,2016-05-01,46.24,46.8,45.83,46.8
Autonomous region in Muslim Mindanao,Basilan,2016-06-01,47.02,47.44,46.46,46.46
Autonomous region in Muslim Mindanao,Basilan,2016-07-01,46.25,47.06,45.83,47.06
Autonomous region in Muslim Mindanao,Basilan,2016-08-01,47.38,47.82,46.68,46.68
Autonomous region in Muslim Mindanao,Basilan,2016-09-01,46.4,47.43,45.96,47.43
Autonomous region in Muslim Mindanao,Basilan,2016-10-01,47.85,48.35,47.37,48.35
Autonomous region in Muslim Mindanao,Basilan,2016-11-01,48.51,49.16,48.03,49.16
Autonomous region in Muslim Mindanao,Basilan,2016-12-01,49.43,49.92,48.94,49.82
Autonomous region in Muslim Mindanao,Basilan,2017-01-01,49.93,50.42,49.45,49.74
Autonomous region in Muslim Mindanao,Basilan,2017-02-01,49.69,50.16,49.21,49.96
Autonomous region in Muslim Mindanao,Basilan,2017-03-01,50.04,50.51,49.57,50.28
Autonomous region in Muslim Mindanao,Basilan,2017-04-01,50.39,50.85,49.86,49.86
Autonomous region in Muslim Mindanao,Basilan,2017-05-01,49.64,50.09,49.18,49.86
Autonomous region in Muslim Mindanao,Basilan,2017-06-01,49.97,50.42,49.52,49.85
Autonomous region in Muslim Mindanao,Basilan,2017-07-01,49.78,50.64,49.34,50.64
Autonomous region in Muslim Mindanao,Basilan,2017-08-01,51.0,51.46,50.54,50.87
Autonomous region in Muslim Mindanao,Basilan,2017-09-01,50.79,51.24,50.33,51.01
Autonomous region in Muslim Mindanao,Basilan,2017-10-01,51.13,51.58,50.68,51.34
Autonomous region in Muslim Mindanao,Basilan,2017-11-01,51.39,51.83,50.94,51.04
Autonomous region in Muslim Mindanao,Basilan,2017-12-01,50.94,51.38,50.39,50.39
Autonomous region in Muslim Mindanao,Basilan,2018-01-01,50.16,50.59,49.72,50.51
Autonomous region in Muslim Mindanao,Basilan,2018-02-01,50.67,51.79,50.24,51.79
Autonomous region in Muslim Mindanao,Basilan,2018-03-01,52.19,52.67,51.7,52.07
Autonomous region in Muslim Mindanao,Basilan,2018-04-01,52.05,52.52,51.57,52.1
Autonomous region in Muslim Mindanao,Basilan,2018-05-01,52.1,52.56,51.63,52.19
Autonomous region in Muslim Mindanao,Basilan,2018-06-01,52.25,53.05,51.79,53.05
Autonomous region in Muslim Mindanao,Basilan,2018-07-01,53.34,53.81,52.86,53.43
Autonomous region in Muslim Mindanao,Basilan,2018-08-01,53.48,53.95,53.01,53.27
Autonomous region in Muslim Mindanao,Basilan,2018-09-01,53.18,53.94,52.72,53.94
Autonomous region in Muslim Mindanao,Basilan,2018-10-01,54.25,54.73,53.77,54.01
Autonomous region in Muslim Mindanao,Basilan,2018-11-01,53.9,54.37,52.81,52.81
Autonomous region in Muslim Mindanao,Basilan,2018-12-01,52.43,52.91,51.94,52.77
Autonomous region in Muslim Mindanao,Basilan,2019-01-01,52.89,53.37,52.41,52.47
Autonomous region in Muslim Mindanao,Basilan,2019-02-01,52.32,52.79,51.84,52.19
Autonomous region in Muslim Mindanao,Basilan,2019-03-01,52.14,52.6,51.67,52.41
Autonomous region in Muslim Mindanao,Basilan,2019-04-01,52.52,52.98,52.07,52.11
Autonomous region in Muslim Mindanao,Basilan,2019-05-01,51.95,52.4,51.5,52.26
Autonomous region in Muslim Mindanao,Basilan,2019-06-01,52.39,52.84,51.8,51.8
