,#date,#adm2+id,#adm2+code,#indicator+n_pixels+num,#indicator+vim+num,#indicator+vim_avg+num,#indicator+viq+pct
10621,2002-07-01,1013459,UA6312,12.0,0.5632,0.6196,91.5808
10622,2002-07-11,1013459,UA6312,12.0,0.5689,0.6146,93.1254
10623,2002-07-21,1013459,UA6312,12.0,0.5756,0.6049,95.5201
10624,2002-08-01,1013459,UA6312,12.0,0.581,0.5927,98.189
10625,2002-08-11,1013459,UA6312,12.0,0.5837,0.5795,100.6682
10626,2002-08-21,1013459,UA6312,12.0,0.5824,0.5643,102.9514
10627,2002-09-01,1013459,UA6312,12.0,0.5766,0.5476,104.8585
10628,2002-09-11,1013459,UA6312,12.0,0.5654,0.529,106.2884
10629,2002-09-21,1013459,UA6312,12.0,0.5465,0.5065,107.1863
10630,2002-10-01,1013459,UA6312,12.0,0.5185,0.4799,107.2862
10631,2002-10-11,1013459,UA6312,12.0,0.4816,0.4496,106.4022
10632,2002-10-21,1013459,UA6312,12.0,0.4383,0.4151,104.9823
10633,2002-11-01,1013459,UA6312,12.0,0.3965,0.3796,103.9115
10634,2002-11-11,1013459,UA6312,12.0,0.3618,0.3454,104.1388
10635,2002-11-21,1013459,UA6312,12.0,0.3345,0.3103,106.6921
10636,2002-12-01,1013459,UA6312,12.0,0.3127,0.2739,111.9468
10637,2002-12-11,1013459,UA6312,12.0,0.2923,0.2381,118.7893
10638,2002-12-21,1013459,UA6312,12.0,0.267,0.2036,125.0228
10639,2003-01-01,1013459,UA6312,12.0,0.2224,0.168,124.9371
10640,2003-01-11,1013459,UA6312,12.0,0.1658,0.1395,113.8937
10641,2003-01-21,1013459,UA6312,12.0,0.1148,0.1228,95.3966
10642,2003-02-01,1013459,UA6312,12.0,0.0735,0.1176,73.6569
10643,2003-02-11,1013459,UA6312,12.0,0.0491,0.1255,56.492
10644,2003-02-21,1013459,UA6312,12.0,0.0417,0.1423,47.6806
10645,2003-03-01,1013459,UA6312,12.0,0.0499,0.1676,45.9089
10646,2003-03-11,1013459,UA6312,12.0,0.0768,0.203,50.111
10647,2003-03-21,1013459,UA6312,12.0,0.1246,0.2485,58.5022
10648,2003-04-01,1013459,UA6312,12.0,0.1881,0.3018,67.6712
10649,2003-04-11,1013459,UA6312,12.0,0.2564,0.3587,74.9752
10650,2003-04-21,1013459,UA6312,12.0,0.329,0.4188,80.8577
10651,2003-05-01,1013459,UA6312,12.0,0.4025,0.4778,85.7444
10652,2003-05-11,1013459,UA6312,12.0,0.4718,0.5303,89.9147
10653,2003-05-21,1013459,UA6312,12.0,0.5332,0.5733,93.5756
10654,2003-06-01,1013459,UA6312,12.0,0.5808,0.6022,96.7086
