,#date,#adm2+id,#adm2+code,#indicator+n_pixels+num,#indicator+vim+num,#indicator+vim_avg+num,#indicator+viq+pct
1638,2002-07-01,1003147,TD1501,888.0,0.4771,0.5156,93.1785
1639,2002-07-11,1003147,TD1501,888.0,0.5309,0.5762,92.757
1640,2002-07-21,1003147,TD1501,888.0,0.5951,0.636,94.0325
1641,2002-08-01,1003147,TD1501,888.0,0.6494,0.6811,95.6741
1642,2002-08-11,1003147,TD1501,888.0,0.6858,0.7061,97.3141
1643,2002-08-21,1003147,TD1501,888.0,0.7067,0.7147,98.9596
1644,2002-09-01,1003147,TD1501,888.0,0.7133,0.7104,100.3876
1645,2002-09-11,1003147,TD1501,888.0,0.7067,0.6972,101.2734
1646,2002-09-21,1003147,TD1501,888.0,0.6859,0.6765,101.3032
1647,2002-10-01,1003147,TD1501,888.0,0.6517,0.6483,100.4919
1648,2002-10-11,1003147,TD1501,888.0,0.6078,0.6132,99.1946
1649,2002-10-21,1003147,TD1501,888.0,0.5515,0.5696,97.0815
1650,2002-11-01,1003147,TD1501,888.0,0.4888,0.5211,94.3327
1651,2002-11-11,1003147,TD1501,888.0,0.4333,0.4745,92.138
1652,2002-11-21,1003147,TD1501,888.0,0.3864,0.4307,90.7765
1653,2002-12-01,1003147,TD1501,888.0,0.3489,0.3919,90.2569
1654,2002-12-11,1003147,TD1501,888.0,0.3204,0.3593,90.5104
1655,2002-12-21,1003147,TD1501,888.0,0.2988,0.3319,91.3405
1656,2003-01-01,1003147,TD1501,888.0,0.2815,0.308,92.5857
1657,2003-01-11,1003147,TD1501,888.0,0.2691,0.2903,93.7732
1658,2003-01-21,1003147,TD1501,888.0,0.2601,0.2775,94.6932
1659,2003-02-01,1003147,TD1501,888.0,0.2516,0.2661,95.4193
1660,2003-02-11,1003147,TD1501,888.0,0.2439,0.2565,95.8952
1661,2003-02-21,1003147,TD1501,888.0,0.2374,0.2488,96.1857
1662,2003-03-01,1003147,TD1501,888.0,0.2317,0.2427,96.257
1663,2003-03-11,1003147,TD1501,888.0,0.227,0.2383,96.0742
1664,2003-03-21,1003147,TD1501,888.0,0.2246,0.2374,95.5273
1665,2003-04-01,1003147,TD1501,888.0,0.2256,0.2402,94.9637
1666,2003-04-11,1003147,TD1501,888.0,0.2297,0.2461,94.482
1667,2003-04-21,1003147,TD1501,888.0,0.2363,0.2549,93.9005
1668,2003-05-01,1003147,TD1501,888.0,0.2469,0.2669,93.7043
1669,2003-05-11,1003147,TD1501,888.0,0.2653,0.2831,94.6442
1670,2003-05-21,1003147,TD1501,888.0,0.2963,0.3079,96.7491
1671,2003-06-01,1003147,TD1501,888.0,0.343,0.3446,99.5992
1672,2003-06-11,1003147,TD1501,888.0,0.4018,0.3924,102.12
1673,2003-06-21,1003147,TD1501,888.0,0.4697,0.4517,103.5852
1674,2003-07-01,1003147,TD1501,888.0,0.5387,0.5156,104.0806
1675,2003-07-11,1003147,TD1501,888.0,0.5975,0.5762,103.4029
1676,2003-07-21,1003147,TD1501,888.0,0.642,0.636,100.8692
1677,2003-08-01,1003147,TD1501,888.0,0.6702,0.6811,98.5136
1678,2003-08-11,1003147,TD1501,888.0,0.6847,0.7061,97.1773
1679,2003-08-21,1003147,TD1501,888.0,0.6892,0.7147,96.6658
1680,2003-09-01,1003147,TD1501,888.0,0.6847,0.7104,96.6195
