"STATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"61024099999","2001-01-05","  23.9","000000","999.9","  80.6","  51.8"," 25.1"," 0.00","1015.6","999.9","958.8","  74.1","  5.5"," 18.6"
"61024099999","2001-01-06","  25.2","000000","999.9","  82.0","  52.5"," 21.0"," 0.00","1016.8","999.9","959.5","  73.1","  6.7"," 14.7"
"61024099999","2001-01-07","  22.2","000000","999.9","  81.0","  52.0"," 25.1"," 0.00","1016.8","999.9","959.5","  71.1","  6.2"," 16.7"
"61024099999","2001-01-08","  20.0","000000","999.9","  82.4","  54.7"," 27.0"," 0.00","1016.3","999.9","959.2","  72.1","  6.5"," 17.8"
"61024099999","2001-01-09","  20.5","000000","999.9","  82.4","  56.3"," 27.0"," 0.00","1015.8","999.9","958.9","  73.5","  7.0"," 16.4"
"61024099999","2001-01-10","  21.4","000000","999.9","  82.4","  59.0"," 28.9"," 0.00","1014.9","999.9","958.1","  75.4","  6.0"," 19.7"
"61024099999","2001-01-11","  20.0","000000","999.9","  83.1","  53.6"," 28.9"," 0.00","1015.0","999.9","958.1","  73.0","  6.9"," 15.9"
"61024099999","2001-01-12","  17.8","000000","999.9","  85.1","  52.3"," 22.9"," 0.00","1014.9","999.9","958.2","  75.5","  6.0"," 16.8"
"61024099999","2001-01-13","  17.6","000000","999.9","  86.0","  50.0"," 22.9"," 0.00","1013.5","999.9","956.5","  77.9","  6.5"," 13.9"
"61024099999","2001-01-14","  18.4","000000","999.9","  87.8","  55.4"," 12.0"," 0.00","1011.1","999.9","954.2","  77.1","  7.2","  6.5"
"61024099999","2001-01-15","  20.9","000000","999.9","  89.6","  52.7"," 12.0"," 0.00","1011.4","999.9","954.8","  76.4","  7.1","  5.4"
"61024099999","2001-01-16","  18.6","000000","999.9","  90.1","  59.7"," 12.0"," 0.00","1013.0","999.9","956.5","  79.9","  7.7","  6.0"
"61024099999","2001-01-17","  17.9","000000","999.9","  90.3","  60.1"," 15.9"," 0.00","1014.1","999.9","957.7","  81.0","  6.2","  9.1"
"61024099999","2001-01-18","  17.6","000000","999.9","  84.2","  54.3"," 30.9"," 0.00","1015.8","999.9","958.9","  76.7","  3.8"," 22.2"
"61024099999","2001-01-19","  23.3","000000","999.9","  79.9","  59.9"," 27.0"," 0.00","1016.6","999.9","959.6","  73.6","  4.6"," 17.7"
"61024099999","2001-01-20","  21.3","000000","999.9","  81.7","  55.4"," 19.0"," 0.00","1017.4","999.9","960.4","  72.3","  3.9"," 11.9"
"61024099999","2001-01-21","  18.7","000000","999.9","  84.2","  51.1"," 22.9"," 0.00","1016.6","999.9","959.5","  76.4","  6.4"," 14.2"
"61024099999","2001-01-22","  17.6","000000","999.9","  79.5","  53.6"," 27.0"," 0.00","1017.4","999.9","960.4","  71.1","  5.3"," 19.3"
"61024099999","2001-01-23","  19.1","000000","999.9","  78.8","  52.7"," 25.1"," 0.00","1019.0","999.9","961.3","  72.3","  6.5"," 19.0"
"61024099999","2001-01-24","  20.4","000000","999.9","  77.0","  50.0"," 27.0"," 0.00","1019.9","999.9","962.2","  67.5","  5.4"," 17.0"
"61024099999","2001-01-25","  18.3","000000","999.9","  77.0","  50.9"," 28.9"," 0.00","1018.4","999.9","961.4","  71.2","  4.7"," 20.8"
"61024099999","2001-01-26","  19.7","000000","999.9","  79.5","  50.9"," 22.9"," 0.00","1017.9","999.9","960.7","  72.9","  6.2"," 16.5"
"61024099999","2001-01-27","  18.6","000000","999.9","  82.8","  52.7"," 19.0"," 0.00","1016.5","999.9","958.8","  73.8","  6.4"," 11.9"
"61024099999","2001-01-28","  17.6","000000","999.9","  85.1","  64.4"," 14.0"," 0.00","1014.8","999.9","957.7","  76.0","  7.2","  9.8"
